[2023-07-06 00:34:22,104] Register - Step 01 : Navigate to register Page
[2023-07-06 00:34:23,199] Register - Step 02 : Enter to FirstName textbox with value is Automation
[2023-07-06 00:34:23,437] Register - Step 03 : Enter to LastName textbox with value is FC
[2023-07-06 00:34:23,671] Register - Step 04 : Enter to email textbox with value is afc7988@mail.vn
[2023-07-06 00:34:23,857] Register - Step 05 : Enter to password textbox with value is 123456
[2023-07-06 00:34:24,046] Register - Step 06 : Enter to confirmPw textbox with value is 123456
[2023-07-06 00:34:24,214] Register - Step 07: Click to Register Button
[2023-07-06 00:34:25,017] Register - Step 08 : Verify register success
[2023-07-06 00:34:25,105] Register - Step 09 : Go to HomePage
[2023-07-06 00:34:25,746] Register - Step 01 : Navigate to Login Page
[2023-07-06 00:34:26,256] Register - Step 02 : email  to FirstName textbox with value is afc7988@mail.vn
[2023-07-06 00:34:26,440] Register - Step 03 : Enter to password textbox with value is 123456
[2023-07-06 00:34:26,613] Register - Step 04: Click to Login Button
[2023-07-06 00:34:27,470] Register - Step 05: Verify 'MyAccount' link is display
[2023-07-06 00:34:27,581] Register - Step 06: Navigate to 'My Account' Page
[2023-07-06 00:34:28,089] Register - Step 07: Verify  'My Account' Page is displayed
[2023-07-06 00:47:33,382] Register - Step 01 : Navigate to register Page
[2023-07-06 00:47:34,529] Register - Step 02 : Enter to FirstName textbox with value is Automation
[2023-07-06 00:47:34,762] Register - Step 03 : Enter to LastName textbox with value is FC
[2023-07-06 00:47:34,931] Register - Step 04 : Enter to email textbox with value is afc452@mail.vn
[2023-07-06 00:47:35,124] Register - Step 05 : Enter to password textbox with value is 123456
[2023-07-06 00:47:35,308] Register - Step 06 : Enter to confirmPw textbox with value is 123456
[2023-07-06 00:47:35,475] Register - Step 07: Click to Register Button
[2023-07-06 00:47:36,322] Register - Step 08 : Verify register success
[2023-07-06 00:47:36,408] Register - Step 09 : Go to HomePage
[2023-07-06 00:47:36,987] Register - Step 01 : Navigate to Login Page
[2023-07-06 00:47:37,478] Register - Step 02 : email  to FirstName textbox with value is afc452@mail.vn
[2023-07-06 00:47:37,647] Register - Step 03 : Enter to password textbox with value is 123456
[2023-07-06 00:47:37,833] Register - Step 04: Click to Login Button
[2023-07-06 00:47:38,709] Register - Step 05: Verify 'MyAccount' link is display
[2023-07-06 00:47:38,825]  -------------------------- PASSED -------------------------- 
[2023-07-06 00:47:38,825] Register - Step 06: Navigate to 'My Account' Page
[2023-07-06 00:47:39,383] Register - Step 07: Verify  'My Account' Page is displayed
[2023-07-06 00:47:39,478]  -------------------------- PASSED -------------------------- 
